z-score	,Data of z
-2.3939798	,-1.99956269
-1.959963985	,-1.997312915
-1.731664396	,-1.874025235
-1.568919632	,-1.470415566
-1.439531471	,-1.45556705
-1.330561513	,-1.431719433
-1.235440342	,-1.246787912
-1.15034938	,-1.192343353
-1.072861342	,-1.155896995
-1.001331298	,-1.060956482
-0.934589291	,-1.048357741
-0.871770972	,-1.037108865
-0.812217801	,-0.995713002
-0.755415026	,-0.957466823
-0.70095142	,-0.806731886
-0.648492181	,-0.746887866
-0.597760126	,-0.704142137
-0.548522283	,-0.678944655
-0.500580105	,-0.644298117
-0.45376219	,-0.44001853
-0.407918741	,-0.399972532
-0.362917295	,-0.309081614
-0.318639364	,-0.244288089
-0.231834362	,-0.035958907
-0.274977749	,-0.037308772
-0.189118426	,-0.021560346
-0.146744955	,-0.010761425
-0.104633456	,0.035583944
-0.062706778	,0.036933809
-0.020890088	,0.04773273
0.020890088	,0.04953255
0.062706778	,0.058531651
0.104633456	,0.072930212
0.146744955	,0.081479358
0.189118426	,0.126024907
0.231834362	,0.170570455
0.274977749	,0.184969017
0.318639364	,0.190818432
0.362917295	,0.248862632
0.407918741	,0.386998828
0.45376219	,0.461691365
0.500580105	,0.488238712
0.548522283	,0.64797275
0.597760126	,0.702867265
0.648492181	,0.888698695
0.70095142	,0.898147751
0.755415026	,0.907146852
0.812217801	,0.931444424
0.871770972	,0.960241546
0.934589291	,1.01333624
1.001331298	,1.086228957
1.072861342	,1.155522032
1.15034938	,1.206816907
1.235440342	,1.284659128
1.330561513	,1.299957599
1.439531471	,1.381399461
1.568919632	,1.466440963
1.731664396	,1.689168707
1.959963985	,1.918195821
2.3939798	,1.924045236

